# This file contains the observed position-velocity data
# of McGaugh, Rubin, \& de Blok (2001).
#
# The start of data for each individual galaxy is delimited by 
# a line giving the galaxy name.  The meaning of the columns is
# R: radius in arcsec
# V: velocity in km/s (relative to center, corrected for inclination)
# Err: uncertainty in V (km/s)
#
Name	R	V	Err
	  0.0	   0.0	 1.0
	  0.9	  14.6	 0.8
	  2.8	  29.0	 7.2
	  4.6	  35.9	 6.0
	  6.7	  25.0	 3.4
	 16.3	  62.7	 6.4
	 17.7	  68.1	 2.5
	 19.5	  62.1	 1.9
F730-V1			
	-21.2	-130.7	13.1
	-19.1	-156.3	13.1
	-16.4	-147.4	13.1
	-13.6	-137.9	13.1
	-11.5	-127.7	13.1
	-10.2	-134.1	13.1
	 -8.4	-128.3	 1.7
	 -5.7	-117.9	 0.5
	 -4.0	-100.8	 6.6
	 -3.3	 -83.3	 1.7
	 -2.6	 -76.0	 3.3
	 -1.9	 -62.3	 5.5
	 -1.2	 -46.2	 0.8
	 -0.5	 -22.3	 4.6
	  0.2	   7.3	 3.1
	  0.9	  37.3	 0.4
	  1.6	  64.2	 1.0
	  2.3	  84.5	 3.6
	  3.3	  95.2	 4.6
	  5.4	 106.3	13.3
	  7.1	 128.9	10.4
	  9.5	 125.8   0.5
	 13.0	 145.4	16.5
	 17.1	 141.6	 8.0
U4115			
	-62.4	  37.5	 0.6
	-57.3	  40.4	 1.8
	-44.8	  30.7	 3.1
	-38.6	  27.7	 1.6
	-33.1	  22.8	 0.6
	-28.3	  15.3	 1.1
	-22.1	  22.0	 1.5
	-15.6	  11.7	 2.2
	 -9.0	   8.5	 2.3
	 -3.8	   1.6	 1.2
	  1.6	   1.6	 0.5
	 14.8	 -10.0	 6.4
	 20.0	 -24.4	 2.8
	 26.2	 -30.3	 5.0
	 34.8	 -25.6	 0.3
U5750			
	-33.1	 -78.8	11.0
	-27.6	 -62.8	11.0
	-22.8	 -57.3	11.0
	-16.6	 -46.3	11.0
	-11.7	 -36.0	11.0
	 -9.0	 -33.7	11.0
	 -4.1	  -9.9	 3.4
	 -1.4	  -3.8	 2.9
	  1.7	   4.2	 2.4
	  5.1	   5.9	 2.7
	  8.4	  17.7	 1.9
	 14.5	  44.5	 0.3
	 17.9	  54.0	 1.4
	 22.8	  59.5	 1.3
U6614			
	-81.2	 201.2	 7.2
	-36.6	 174.8	19.6
	-29.4	 172.6	 6.4
	-27.9	 168.8	 9.5
	-26.2	 171.1	13.4
	-24.8	 159.5	 0.2
	-21.4	 171.1	 8.1
	 -2.4	 -16.9	17.3
	 -1.4	  17.0	 9.1
	 -0.7	 -15.6	24.0
	  0.0	  -8.7	19.5
	  0.7	   5.8	19.0
	  1.4	  17.9	 3.3
	  2.1	  22.8	12.8
	  3.5	 -74.2	16.7
	  7.6	-194.7	16.7
	 26.9	-175.7	 8.2
	 29.0	-162.8	14.1
	 31.4	-184.0	 4.0
	 58.0	-172.0	10.7
	 61.0	-217.1	 1.4
	 85.6	-198.3	16.7
U11454			
	-26.9	-150.1	 4.4
	-23.1	-147.1	 2.2
	-19.0	-141.9	 1.5
	-15.2	-135.0	 1.5
	-13.5	-131.5	 0.7
	-11.4	-125.8	 3.0
	 -9.0	-106.6	 3.0
	 -6.9	-110.8	 0.5
	 -4.8	 -93.8	 7.1
	 -3.1	 -82.7	13.2
	 -2.1	 -45.2	10.8
	 -1.4	 -32.0	 8.6
	 -0.7	 -10.4	 6.4
	  0.0	  -5.1	 3.9
	  0.7	   9.4	 6.9
	  1.4	  24.1	 6.4
	  2.3	  50.6	 3.8
	  3.5	  74.8	 0.5
	  4.5	  89.4	 2.1
	  6.2	 102.7	 3.6
	  8.3	  97.1	 4.5
	 11.0	 121.5	 0.5
	 13.1	 133.2	 4.1
	 14.8	 136.9	 0.1
	 16.6	 137.5	 3.1
	 19.7	 152.3	 0.6
	 23.8	 153.1	 0.7
	 27.6	 150.3	 1.5
U11557			
	-44.7	  65.1	12.4
	-41.6	  63.7	 2.6
	-35.7	  58.5	 5.0
	-31.2	  38.5	 5.0
	-28.8	  54.4	 4.0
	-25.7	  41.1	 2.4
	-22.9	  28.6	 0.2
	-18.8	  53.9	 0.9
	-14.7	  12.4	 5.7
	-10.5	  13.8	 7.2
	 -6.7	   6.9	 2.0
	 -2.8	   8.3	 7.2
	  0.9     -0.9	 1.1
	  5.7	  -1.8	 3.2
	  8.4	  -9.9	10.5
	 13.3	 -36.7	 4.0
	 19.0	 -35.6	 3.4
	 22.7	 -40.3	 4.4
	 26.7	 -53.3	 6.7
	 36.7	 -53.3	 3.2
	 43.6	 -67.1	 2.0
	 47.1	 -63.9	 2.3
	 50.8	 -73.0	 0.2
	 53.8	 -71.5	 2.3
	 58.0	 -83.4	 5.7
U11583			
	-62.1	  38.7	 4.8
	-49.7	  32.1	 1.1
	-36.4	  30.1	 0.9
	-33.7	  26.5	 1.2
	-29.0	  23.9	 2.8
	-13.8	   8.0	 1.9
	-10.0	   7.5	 2.4
	 -8.0	   7.7	 0.9
	 -3.5	   1.7	 0.1
	  0.7	  -2.9	 1.5
	  4.4	  -3.6	 1.7
	  8.6	  -6.1	 3.3
	 12.4	  -9.1	 1.9
	 22.4	 -28.1	10.1
	 31.4	 -35.0	 1.7
	 37.2	 -32.0	 1.0
	 41.0	 -30.8	 0.4
	 49.6	 -29.9	 1.1
	 55.5	 -32.2	 1.9
U11616			
	-27.0	 137.5	11.4
	-24.1	 128.5	11.4
	-21.8	 133.2	 3.5
	-19.2	 124.3	11.4
	-16.8	 125.8	11.4
	-14.4	 132.4	 2.4
	-13.2	 125.4	11.4
	-11.2	 108.5	 4.9
	 -9.3	 106.6	 2.0
	 -7.7	  97.7	 5.4
	 -4.8	  76.6	 4.0
	 -3.2	  64.8	 4.4
	 -2.1	  34.7	11.4
	 -1.2	  16.6	11.4
	  0.0	  -4.7	 1.6
	  1.5	 -27.2	 6.6
	  2.6	 -47.0	 9.0
	  3.8	 -67.8	12.7
	  5.4	 -88.2	11.4
	  6.9	-102.1	 3.4
	  8.6	-108.0	 2.2
	 10.9	-107.6	 1.6
	 15.0	-121.7	 2.3
	 17.6	-125.2	 1.5
	 20.2	-125.0	 0.7
	 26.4	-151.4	11.4
U11648			
	-25.0	-104.3	 5.9
	-20.9	-101.3	 1.0
	-17.8	 -98.5	 3.6
	-15.0	 -85.0	 3.3
	-12.6	 -79.7	 2.7
	 -9.9	 -86.0	 7.5
	 -8.1	 -85.2	 0.5
	 -6.8	 -79.3	 1.3
	 -6.1	 -75.8	 0.7
	 -5.4	 -70.0	 3.6
	 -4.7	 -64.8	10.0
	 -4.0	 -62.5	 0.1
	 -3.3	 -57.1	 1.9
	 -2.6	 -40.2	 5.1
	 -1.9	 -29.4	 4.4
	 -1.2	 -10.2	 5.7
	 -0.5	  -1.4	 4.0
	  0.1	   9.3	 1.0
	  0.8	  19.4	 0.4
	  1.5	  30.2	 0.2
	  3.2	  49.6	 4.5
	  4.6	  65.3	 5.4
	  5.7	  67.0	 1.5
	  6.8	  64.3	 2.9
	  8.4	  62.7	 4.2
	 10.0	  68.4	 5.0
	 13.0	  74.0	 7.3
	 18.3	  98.4	 3.0
	 21.3	 108.6	 0.2
	 23.9	 102.5	 3.0
	 26.1	 107.4	 2.7
	 28.4	 104.0	 4.7
	 33.6	 113.3	 4.5
	 37.4	 117.2	 1.1
	 41.3	 119.0	 5.0
	 45.0	 137.1	 0.5
	 47.8	 135.6	 1.2
	 50.5	 140.5	 2.4
	 54.7	 142.7	 2.4
U11748			
	-59.2	-243.4	 5.4
	-52.6	-247.2	 0.8
	-45.7	-230.6	 3.7
	-39.1	-228.5	 0.5
	-32.7	-239.7	 6.5
	-29.2	-248.7	 0.7
	-25.1	-252.6	 2.6
	-21.3	-236.5	 1.2
	-18.0	-232.5	 3.3
	-15.4	-239.3	 7.9
	-12.2	-254.8	 1.9
	 -9.2	-240.9	 1.2
	 -7.2	-231.2	 2.3
	 -6.0	-230.8	 4.1
	 -5.3	-194.5	 4.1
	 -4.6	-143.6	 3.2
	 -3.6	 -97.9	 7.1
	 -2.2	 -53.0	 2.2
	 -1.2	 -33.3	10.3
	  0.2	 -16.2	10.3
	  1.2	  50.4	 1.3
	  2.6	  81.8	 2.3
	  3.6	 143.0	10.3
	  4.3	 185.8	10.3
	  5.0	 194.6	 4.7
	  6.1	 208.3	 0.9
	  7.9	 208.9	 3.1
	  9.6	 217.9	 3.7
	 12.6	 246.2	 6.6
	 14.0	 258.8	 3.3
	 17.0	 264.6	 2.0
	 21.9	 248.3	10.1
	 26.9	 228.1	 3.3
	 32.4	 222.3	 6.4
	 38.8	 226.1	10.3
	 44.3	 215.8	10.3
U11819			
	-40.0	 150.6	10.8
	-29.0	 157.4	10.8
	-24.8	 145.2	10.8
	-21.4	 134.2	10.8
	-17.9	 132.9	 1.3
	-15.9	 125.6	10.8
	-12.4	 108.0	10.8
	-11.0	  95.8	 2.5
	 -8.3	  83.4	10.8
	 -6.2	  71.2	10.8
	 -4.1	  47.7	10.8
	 -2.4	  22.9	 2.4
	  0.0	   4.5	10.8
	  2.1	 -28.0	 9.4
	  4.1	 -47.6	10.8
	  5.9	 -70.1	 3.0
	  9.0	 -90.1	 1.0
	 11.4	 -97.3	 7.4
	 13.8	-101.1	 5.7
	 18.3	-140.1	 2.2
	 20.0	-141.9	 2.9
	 22.1	-152.5	10.8
	 30.7	-154.6	 3.0
E0140040			
	-28.4	 268.6	32.7
	-11.2	 300.2	22.1
	 -9.3	 227.2	 7.1
	 -6.3	 209.5	 0.4
	 -2.5	 147.7	 1.8
	 -1.9	 156.7	14.2
	 -1.2	  86.0	24.0
	 -0.5	  48.8	20.4
	  0.7	 -54.1	46.8
	  2.1	-147.5	23.3
	  3.6	-150.2	14.0
	  5.5	-162.9	 6.0
	  8.7	-289.0	24.4
	 20.6	-270.4	 8.5
E0840411			
	-22.8	  57.4	 2.7
	-19.0	  56.0	 0.8
	-16.6	  51.7	 5.1
	-13.9	  34.0	 0.8
	 -9.8	  25.6	 1.4
	 -6.8	  24.6	 0.6
	 -3.5	  14.5	 0.1
	  0.0	  -0.5	 4.5
	  4.1	 -14.4	 2.0
	  6.1	 -23.0	 0.6
	  7.8	 -33.5	 5.1
	 12.1	 -29.7	 0.8
	 20.1	 -41.6	 9.8
E1200211			
	-25.1	  22.9	 1.2
	-22.7	  20.2	 2.7
	-20.0	  23.5	 1.7
	-16.8	  22.0	 1.1
	-13.0	  22.5	 0.8
	 -9.1	   8.1	 3.0
	 -4.0	   7.1	 2.8
	  1.4	  -2.0	 1.5
	  4.9	  -3.0	 1.3
	  8.6	 -10.4	10.6
	 12.6	 -24.0	10.6
	 16.7	 -21.5	10.6
	 23.5	 -24.9	 3.4
	 27.1	 -19.4	 1.7
	 31.2	 -17.7	 1.5
	 35.3	 -19.3	 2.6
	 40.5	 -29.0	 5.0
	 44.4	 -30.1	 5.9
	 48.0	 -20.3	 3.9
E1870510			
	-34.8	 -40.6	 1.8
	-31.1	 -38.4	 4.2
	-19.7	 -28.8	 2.2
	-17.3	 -31.9	 0.4
	-15.2	 -24.4	 4.4
	-12.7	 -25.7	 1.3
	 -7.1	 -19.1	 0.2
	  7.0	  20.2	 2.6
	  9.2	  22.7	 1.3
	 10.8	  19.6	 0.2
	 13.0	  26.5	 1.8
	 14.7	  33.9	 4.9
	 21.8	  37.3	 5.1
	 24.5	  41.2	 1.6
	 25.9	  35.7	 2.2
E2060140			
	-40.0	 117.1	 2.5
	-31.1	 118.9	15.6
	-28.4	 111.9	 5.5
	-24.6	 113.7	 1.8
	-20.6	 119.8	 0.2
	-11.4	  99.5	 8.5
	 -9.4	  88.3	15.6
	 -6.0	  75.0	15.6
	 -2.9	  57.6	 6.4
	 -0.5	  -1.4	 0.2
	  0.4	 -15.9	 2.4
	  3.5	 -52.7	 3.0
	  4.9	 -78.7	15.6
	  7.3	 -90.1	 4.0
	  9.0	 -96.0	 5.1
	 12.7	 -90.9	 1.1
	 17.8	-115.7	 0.5
	 20.2	-115.7	 1.2
	 27.0	-117.5	 2.2
	 32.4	-118.5	 1.4
E3020120			
	-32.7	 -91.5	12.0
	-30.0	 -83.1	12.0
	-23.2	 -67.1	12.0
	-17.8	 -90.8	12.0
	-15.7	 -85.1	12.0
	-13.0	 -66.2	12.0
	 -4.2	 -35.9	12.0
	 -2.1	 -19.2	12.0
	  0.6	   5.9	12.0
	  6.7	  52.6	 0.6
	 10.8	  59.2	12.0
	 23.0	  83.7	12.0
E3050090			
	-87.7	  48.0	12.5
	-80.6	  56.6	14.4
	-75.1	  53.1	 3.3
	-70.0	  38.7	 7.5
	-65.3	  47.1	 5.8
	-58.5	  50.3	12.5
	-40.1	  35.9	 0.3
	-20.4	  23.5	12.5
	 -8.2	   6.0	12.5
	  3.4	  -1.1	12.5
	  7.5	 -15.4	12.5
	 10.7	 -22.0	 0.8
	 15.6	 -15.8	 1.0
	 22.1	 -16.7	 3.3
	 26.2	 -21.0	 2.5
	 29.2	 -25.3	12.5
	 52.7	 -76.9	 2.5
	 61.9	 -61.4	12.5
E4250180			
	-34.0	-144.5	18.0
	-21.1	-175.2	18.0
	-12.9	 -69.8	18.0
	-11.6	 -96.1	18.0
	 -1.1	 -25.1	 3.3
	  0.0	  -0.5	 0.2
	  0.7	   4.0	 0.6
	  1.7	  45.7	25.4
	 23.1	 126.3	 1.9
	 25.2	 124.6	18.0
	 28.6	 139.5	18.0
E4880049			
	-49.5	 -95.0	 0.1
	-44.7	 -85.8	 6.9
	-34.9	 -84.5	 2.3
	 -9.0	 -35.3	28.1
	 -6.7	 -40.7	17.8
	 -0.2	   5.9	 6.5
	  7.7	  20.9	15.3
	 12.3	  48.9	 1.8
	 22.5	  63.7	 2.8
	 27.2	  62.2	 0.5
	 29.5	  64.4	 1.2
	 56.2	 101.0	21.3
